city;state;date_time;shape
Erath;LA;01/01/2000 23:00;egg
New York;NY;01/02/2000 20:30;other
Denver;CO;02/02/2000 16:00;other
Swansea (UK/Wales);;19/02/2000 23:00;other
Ephrata;WA;10/03/2000 04:00;other
New Rochelle;NY;15/05/2000 20:00;circle
Clifton;NJ;20/06/2000 00:00;other
Orlando;FL;30/06/2000 13:00;rectangle
Los Angeles;CA;01/08/2000 18:00;triangle
Fontana;CA;05/08/2000 22:00;circle
Mount Kisco;NY;15/10/2000 04:00;light
Munhall;PA;25/10/2000 00:00;light
New Rochelle;NY;14/02/2001 04:00;diamond
Passaconway;NH;19/05/2001 23:00;light
Parkersburg;WV;26/05/2001 17:00;other
Cancun (Mexico);;10/06/2001 23:00;light
Nevada desert;NV;30/06/2001 11:00;oval
Spring Valley;CA;09/07/2001 20:00;sphere
Ocean City;MD;24/07/2001 10:00;flash
Sydney (Australia);;11/09/2001 00:00;diamond
Paintsville;KY;14/01/2002 02:47;disk
Gillette;WY;10/05/2002 19:00;triangle
Midland;TX;12/06/2002 20:30;formation
Piqua;OH;15/06/2002 21:00;unknown
New York;NY;23/06/2002 03:00;cylinder
Sedona;AZ;30/06/2002 20:00;triangle
North Port;FL;30/06/2002 23:00;light
Washington;DC;25/07/2002 00:30;light
Midland;ON;06/08/2002 23:00;light
London (UK/England);;05/11/2002 13:30;cross
Augusta;ME;15/11/2002 00:00;light
Phoenix;AZ;01/04/2003 19:00;triangle
Las Vegas;NV;30/06/2003 00:00;unknown
Hong Kong (China);;30/06/2003 20:00;other
Bonita Springs;FL;06/07/2003 21:00;light
Chiefland;FL;15/07/2003 21:30;disk
Bucharest (Romania);;29/07/2003 02:00;sphere
Des Moines;IA;31/07/2003 14:00;cigar
Los Angeles;CA;17/08/2003 01:30;light
Pensacola;FL;24/09/2003 18:45;fireball
Lawrenceville;GA;04/10/2003 19:58;formation
Three Sisters;WI;20/10/2003 01:00;circle
College Point;NY;08/11/2003 20:35;formation
New York;NY;08/11/2003 21:15;chevron
La Canada Flintridge;CA;14/11/2003 23:34;other
St Louis;MO;15/01/2004 04:05;light
Stanfield;OR;05/03/2004 09:00;teardrop
Gold Coast (Australia);;05/03/2004 22:30;light
Adelaide  (South Australia);;15/03/2004 20:00;formation
Crawfordville;IN;15/04/2004 14:00;disk
Amarillo;TX;02/05/2004 13:00;circle
Omaha;NE;23/05/2004 20:31;oval
Oklahoma City;OK;28/05/2004 14:00;changing
Cleveland;OH;15/06/2004 13:00;light
Levittown;PA;26/06/2004 12:00;circle
Zakopane (Poland);;26/06/2004 14:00;other
Plovdiv (Bulgaria);;30/06/2004 21:00;light
New Springfield;OH;30/06/2004 23:00;oval
Maracay (Urbaniz, el Casta̱o) (Venezuela);;12/07/2004 18:20;sphere
Mayfield Heights;OH;10/08/2004 01:00;unknown
Klingerstown;PA;12/08/2004 22:00;disk
Bethel Island;CA;20/08/2004 22:00;light
Murrieta;CA;04/09/2004 11:00;triangle
Oregon;OR;13/10/2004 23:00;circle
Brookline;MA;15/10/2004 04:30;triangle
New Rochelle;NY;20/10/2004 18:00;disk
Meriden;CT;25/10/2004 19:25;cigar
Kidderminster, Warwickshire (UK/England);;10/12/2004 15:11;disk
Philadelphia;PA;24/12/2004 00:00;disk
Malibu;CA;28/12/2004 14:00;triangle
Sydney (Australia);;29/12/2004 22:00;diamond
Chicago- West Suburbs- Rt 171;IL;05/01/2005 06:05;triangle
Jacksonville;FL;19/01/2005 18:30;sphere
Hillsboro;OR;11/03/2005 21:15;
Las Vegas;NE;15/03/2005 01:00;other
Crystal River;FL;20/03/2005 23:20;fireball
Larned;KS;27/03/2005 23:40;cylinder
Mineral Springs;NC;28/03/2005 06:30;other
Memphis;TN;01/04/2005 01:00;disk
Springfield;MA;09/04/2005 00:00;circle
Ringe;NH;15/04/2005 11:00;unknown
Sevastopol (Ukraine);;23/04/2005 16:00;other
Clovis;NM;15/05/2005 05:33;unknown
Basak Gate Lapu-Lapu City,Cebu (Philippines);;15/05/2005 19:55;circle
Montague;MA;16/05/2005 10:38;light
Lisbon;NY;25/05/2005 20:00;formation
Salt Lake City;UT;07/06/2005 17:50;other
New York;NY;15/06/2005 15:00;unknown
Colorado Springs;CO;27/06/2005 21:00;triangle
Ibiza (Spain);;29/06/2005 02:00;sphere
Conway;AR;03/07/2005 08:19;other
Covina;CA;05/07/2005 01:00;circle
Boynton Beach;FL;15/07/2005 14:00;circle
Port Dover;ON;15/07/2005 19:00;cylinder
Sault Ste. Marie;ON;15/07/2005 00:00;sphere
Newcastle (Australia);;23/07/2005 00:00;disk
Groten;MA;31/07/2005 23:00;diamond
College Station;TX;12/08/2005 22:00;
Dallas;TX;15/08/2005 01:26;formation
Covington;VA;15/08/2005 05:45;triangle
Dumfriessire (UK/Scotland);;20/08/2005 05:00;other
Edmonton;AB;25/08/2005 19:00;other
Lauglintown;PA;03/09/2005 20:30;sphere
Waco;TX;06/09/2005 21:17;light
Lisle;IL;07/09/2005 17:00;oval
Chandler;AZ;15/09/2005 21:00;circle
Portland;OR;20/09/2005 17:00;cylinder
Lannoy (North part of France);;25/09/2005 19:41;rectangle
Chicago;IL;30/09/2005 21:15;light
Sugar Grove;IL;30/09/2005 23:15;light
Phoenix;AZ;01/10/2005 15:00;oval
Rockford;MI;05/10/2005 22:00;fireball
Orlando;FL;08/10/2005 06:15;light
Newtown (UK/Wales);;10/10/2005 20:00;formation
Spanaway;WA;15/10/2005 00:00;oval
Vallejo;CA;31/10/2005 08:45;unknown
Scottsdale;AZ;31/10/2005 19:00;triangle
Scottsdale;AZ;31/10/2005 19:30;triangle
Interstate 10;LA;01/11/2005 00:00;sphere
Cincinnati;OH;06/11/2005 01:30;other
Maple Grove;MN;07/11/2005 19:00;other
Kai Ping (China);;11/11/2005 08:30;light
Utah;UT;15/11/2005 15:00;fireball
Sembach (Germany);;15/11/2005 15:00;egg
Fernwood;ID;15/11/2005 23:00;circle
Chandler;AZ;17/11/2005 10:38;light
Denver;CO;19/11/2005 19:55;cigar
Algadonis  to Tonopah;AZ;20/11/2005 22:00;formation
Brandon;MB;21/11/2005 12:01;flash
Brandon;MB;21/11/2005 21:04;disk
James Island;SC;22/11/2005 18:40;other
Butler;MO;22/11/2005 19:40;chevron
Edmond;OK;22/11/2005 19:45;unknown
Bangor;ME;22/11/2005 19:45;other
Chambersburg;PA;22/11/2005 20:40;cigar
Charleston;SC;22/11/2005 20:55;rectangle
Louisville;KY;22/11/2005 21:45;changing
Folly Beach;SC;22/11/2005 22:40;disk
Venice;CA;24/11/2005 00:00;light
Columbus;OH;29/11/2005 15:15;cylinder
Ypsilanti;MI;05/12/2005 07:00;other
Smithshire;IL;05/12/2005 20:00;other
Rome (Italy);;08/12/2005 14:00;other
Welton;AZ;14/12/2005 18:51;formation
Scarborough (UK/England);;15/12/2005 07:30;oval
Brighton;MI;15/12/2005 20:00;unknown
Lenexa;KS;23/12/2005 07:45;other
Charleston;SC;23/12/2005 22:45;unknown
Claremore;OK;01/01/2006 04:45;light
Rio de Janeiro (Brazil);;05/01/2006 22:10;formation
La Crosse;WI;10/01/2006 04:00;other
Sandersville;GA;14/01/2006 19:47;unknown
Depok (Indonesia);;15/01/2006 18:00;oval
Sedona;AZ;15/01/2006 19:30;light
Natchitoches;LA;18/01/2006 03:00;light
Hampstead;NH;18/01/2006 16:20;triangle
Goodland;KS;18/01/2006 19:43;unknown
Torrance;CA;19/01/2006 19:00;other
Cabo San Lucas (Mexico);;19/01/2006 23:15;other
Victoria, Aireys Inlet (Australia);;21/01/2006 04:30;light
Washington;PA;24/01/2006 20:00;disk
Lake Elsinore;CA;01/02/2006 00:00;light
Wagarville;AL;01/02/2006 22:00;fireball
Bloomington;IN;02/02/2006 01:00;changing
Lexington;KY;02/02/2006 10:36;oval
Ypsilanti;MI;05/02/2006 07:00;other
Roseville;CA;08/02/2006 15:40;circle
Heber;AZ;11/02/2006 00:00;circle
Kingston upon Hull (UK/England);;12/02/2006 19:30;unknown
Montgomery;AL;13/02/2006 04:35;unknown
Grafton;OH;14/02/2006 01:34;changing
Winder;GA;15/02/2006 05:15;flash
Florence;SC;15/02/2006 21:30;circle
Larose;LA;15/02/2006 22:00;circle
Shreveport;LA;16/02/2006 00:42;light
Coquitlam;BC;17/02/2006 00:00;flash
